match_day,name,hand,score,attempts,Percent_Score
1,Arielle,R,8,20,0.4
2,Arielle,R,10,20,0.5
3,Arielle,R,6,20,0.3
4,Arielle,L,4,20,0.2
5,Arielle,R,7,20,0.35
6,Arielle,R,9,20,0.45
7,Arielle,R,9,20,0.45
8,Arielle,L,5,20,0.25
9,Arielle,R,13,20,0.65
10,Arielle,R,8,20,0.4
11,Arielle,L,6,20,0.3
12,Arielle,L,3,20,0.15
13,Arielle,R,7,20,0.35
14,Arielle,R,10,20,0.5
15,Arielle,L,6,20,0.3
16,Arielle,R,6,20,0.3
17,Arielle,L,6,20,0.3
18,Arielle,R,7,20,0.35
19,Arielle,R,8,20,0.4
20,Arielle,R,8,20,0.4
21,Arielle,R,9,20,0.45
22,Arielle,L,1,20,0.05
23,Arielle,L,7,20,0.35
24,Arielle,R,9,20,0.45
25,Arielle,R,6,20,0.3
26,Arielle,L,5,20,0.25
27,Arielle,R,8,20,0.4
28,Arielle,R,3,20,0.15
29,Arielle,R,10,20,0.5
30,Arielle,L,8,20,0.4
31,Arielle,R,8,20,0.4
32,Arielle,R,5,20,0.25
33,Arielle,R,5,20,0.25
34,Arielle,L,4,20,0.2
35,Arielle,L,3,20,0.15
36,Arielle,R,10,20,0.5
37,Arielle,L,3,20,0.15
38,Arielle,R,9,20,0.45
39,Arielle,R,9,20,0.45
40,Arielle,R,8,20,0.4
41,Arielle,R,4,20,0.2
42,Arielle,R,10,20,0.5
43,Arielle,R,8,20,0.4
44,Arielle,R,9,20,0.45
45,Arielle,R,7,20,0.35
46,Arielle,R,6,20,0.3
47,Arielle,L,3,20,0.15
48,Arielle,R,7,20,0.35
49,Arielle,R,3,20,0.15
50,Arielle,L,8,20,0.4
1,Boris,L,7,20,0.35
2,Boris,L,3,20,0.15
3,Boris,L,10,20,0.5
4,Boris,L,3,20,0.15
5,Boris,L,5,20,0.25
6,Boris,L,7,20,0.35
7,Boris,R,10,20,0.5
8,Boris,L,4,20,0.2
9,Boris,L,7,20,0.35
10,Boris,L,8,20,0.4
11,Boris,L,3,20,0.15
12,Boris,L,6,20,0.3
13,Boris,L,2,20,0.1
14,Boris,L,4,20,0.2
15,Boris,R,9,20,0.45
16,Boris,R,10,20,0.5
17,Boris,L,9,20,0.45
18,Boris,R,6,20,0.3
19,Boris,R,7,20,0.35
20,Boris,L,6,20,0.3
21,Boris,L,3,20,0.15
22,Boris,L,4,20,0.2
23,Boris,L,7,20,0.35
24,Boris,R,10,20,0.5
25,Boris,R,7,20,0.35
26,Boris,L,7,20,0.35
27,Boris,L,6,20,0.3
28,Boris,L,5,20,0.25
29,Boris,R,9,20,0.45
30,Boris,L,5,20,0.25
31,Boris,R,11,20,0.55
32,Boris,L,5,20,0.25
33,Boris,R,8,20,0.4
34,Boris,L,11,20,0.55
35,Boris,L,8,20,0.4
36,Boris,L,9,20,0.45
37,Boris,R,8,20,0.4
38,Boris,L,3,20,0.15
39,Boris,R,11,20,0.55
40,Boris,L,5,20,0.25
41,Boris,L,6,20,0.3
42,Boris,L,5,20,0.25
43,Boris,L,4,20,0.2
44,Boris,R,11,20,0.55
45,Boris,L,7,20,0.35
46,Boris,R,10,20,0.5
47,Boris,L,4,20,0.2
48,Boris,R,12,20,0.6
49,Boris,L,4,20,0.2
50,Boris,L,7,20,0.35
